Categoria,name,Municipi,Open
4,Hotel Hilton Barcelona ,Barcelona,Si
4,Hotel 1898 ,Barcelona,Si
4,Hotel  Negresco Princess ,Barcelona,Si
4,Hotel Olivia Balmes ,Barcelona,Si
4,Hotel Olivia Plaza ,Barcelona,Si
4,Hotel SB Diagonal Zero ,Barcelona,Si
4,Hotel Iberostar Paseo de Gracia ,Barcelona,Si
4,Hotel Picasso K + K ,Barcelona,Si
4,Hotel Melia Barcelona Sky ,Barcelona,Si
4,Hotel SB Glow ,Barcelona,Si
4,Hotel Seventy ,Barcelona,Si
4,Hotel The Mirror Barcelona ,Barcelona,Si
4,Yurbban Passage Hotel & Spa ,Barcelona,Si
4,Hotel Acta City 47 ,Barcelona,Si
4,AC Hotel Barcelona Forum,Barcelona,Si
4,AC Hotel Diagonal L'Illa,Barcelona,Si
4,Hotel AC Sants ,Barcelona,Si
4,Aparthotel Atenea Barcelona ,Barcelona,Si
4,Hotel Attica21 Barcelona Mar ,Barcelona,Si
4,Ayre Hotel Caspe ,Barcelona,Si
4,Axel Hotel Barcelona ,Barcelona,Si
4,Hotel Barcelo Sants ,Barcelona,Si
4,Hotel Colonial Barcelona ,Barcelona,Si
4,Hotel Best Western Premier Hotel Dante ,Barcelona,Si
4,Hotel Catalonia Atenas ,Barcelona,Si
4,Hotel Catalonia Barcelona Plaza ,Barcelona,Si
4,Hotel Catalonia Diagonal Centro ,Barcelona,Si
4,Hotel Catalonia Placa Catalunya ,Barcelona,Si
4,Hotel Catalonia Port ,Barcelona,Si
4,Hotel Catalonia Rigoletto ,Barcelona,Si
4,Hotel Avenida Palace ,Barcelona,Si
4,Hotel Eurostars Ramblas ,Barcelona,Si
4,Gran Hotel Barcino ,Barcelona,Si
4,Hotel Grums Barcelona ,Barcelona,Si
4,Hotel Grupotel Gran Via 678 ,Barcelona,Si
4,Hotel H10 Metropolitan ,Barcelona,Si
4,HCC Hotel St. Moritz ,Barcelona,Si
4,Hesperia Barcelona del Mar,Barcelona,Si
4,Hotel Hilton Diagonal Mar ,Barcelona,Si
4,Alimara Barcelona Hotel ,Barcelona,Si
4,Hotel America ,Barcelona,Si
4,Ayre Hotel Gran Via ,Barcelona,Si
4,Hotel Balmoral ,Barcelona,Si
4,Hotel Barcelona 1882 ,Barcelona,Si
4,Hotel Barcelona Catedral ,Barcelona,Si
4,Hotel Barcelona Center ,Barcelona,Si
4,Hotel Barcelona Princess ,Barcelona,Si
4,Hotel Barcelona Universal ,Barcelona,Si
4,Hotel Front Maritim ,Barcelona,Si
4,Hotel Brumell ,Barcelona,Si
4,Hotel Casa Bonay ,Barcelona,Si
4,Hotel Casa Elliot,Barcelona,Si
4,Hotel Catalonia Eixample 1864 ,Barcelona,Si
4,Hotel Silken Concordia ,Barcelona,Si
4,Hotel Condes de Barcelona ,Barcelona,Si
4,Hotel Cram ,Barcelona,Si
4,Hotel Evenia Rossello ,Barcelona,Si
4,Hotel Espana ,Barcelona,Si
4,Hotel Gotico ,Barcelona,Si
4,Hotel NH Barcelona Stadium ,Barcelona,Si
4,Hotel NH Collection Constanza ,Barcelona,Si
4,Hotel NH Sants Barcelona ,Barcelona,Si
4,Hotel Paxton Barcelona ,Barcelona,Si
4,Pol & Grace Hotel ,Barcelona,Si
4,Hotel Pulitzer ,Barcelona,Si
4,Hotel Regina ,Barcelona,Si
4,Hotel Sixtytwo Barcelona ,Barcelona,Si
4,Hotel Upper Diagonal ,Barcelona,Si
4,Hotel Villa Emilia by Katja & Antoine ,Barcelona,Si
4,Hotel Zenit Barcelona ,Barcelona,Si
4,Hotel Zenit Borrell ,Barcelona,Si
4,Hotel Ilunion Almirante ,Barcelona,Si
4,Hotel Ilunion Barcelona ,Barcelona,Si
4,Hotel Ilunion Bel Art ,Barcelona,Si
4,Hotel Mercure Barcelona Condor ,Barcelona,Si
4,Midmost Hotel ,Barcelona,Si
4,Hotel Novotel Barcelona City ,Barcelona,Si
4,Hotel Ronda Lesseps ,Barcelona,Si
4,Hotel Room Mate Gerard ,Barcelona,Si
4,Hotel Royal Passeig de Gracia ,Barcelona,Si
4,Hotel SB Icaria Barcelona ,Barcelona,Si
4,Hotel Pere IV ,Barcelona,Si
4,Sercotel Amister Art Hotel ,Barcelona,Si
4,Hotel Silken Ramblas ,Barcelona,Si
